id,interval,ts_send
598,38,1679585677637617330
599,38,1679585677676152940
600,37,1679585677713286133
601,37,1679585677750755643
602,37,1679585677788234649
603,37,1679585677825709201
604,37,1679585677863186631
605,37,1679585677900687386
606,37,1679585677938187057
607,37,1679585677975286672
608,37,1679585678012794615
609,37,1679585678050299877
610,37,1679585678087801425
611,37,1679585678126475287
612,37,1679585678165940213
613,37,1679585678204641664
614,37,1679585678242925794
615,37,1679585678280897836
616,37,1679585678318739541
617,37,1679585678356594498
618,37,1679585678394879970
619,37,1679585678433551062
620,37,1679585678471994807
621,37,1679585678510239464
622,37,1679585678547804211
623,37,1679585678585788097
624,37,1679585678623266640
625,37,1679585678661477182
626,37,1679585678699376624
627,37,1679585678738021360
628,37,1679585678775573443
629,37,1679585678813421854
630,37,1679585678851298185
631,37,1679585678889295298
632,37,1679585678927881680
633,37,1679585678965684559
634,37,1679585679002889068
635,37,1679585679040854464
636,37,1679585679078694943
637,37,1679585679115925277
638,37,1679585679153015915
639,37,1679585679190264928
640,37,1679585679227499040
641,37,1679585679264707006
642,37,1679585679301886247
643,37,1679585679339124281
644,37,1679585679376337929
645,37,1679585679413617785
646,37,1679585679450879477
647,37,1679585679488096739
648,37,1679585679525383566
649,37,1679585679562532078
650,37,1679585679599628770
651,37,1679585679636816333
652,37,1679585679674012599
653,37,1679585679711107913
654,36,1679585679747357440
655,36,1679585679783443786
656,36,1679585679819663860
657,36,1679585679855930218
658,36,1679585679891997571
659,36,1679585679928054629
660,36,1679585679964111309
661,36,1679585680000312154
662,36,1679585680036514727
663,36,1679585680072711550
664,36,1679585680109167388
665,36,1679585680145614776
666,36,1679585680182061530
667,36,1679585680218514301
668,36,1679585680254731111
669,36,1679585680291174673
670,36,1679585680327274263
671,36,1679585680363370956
672,36,1679585680399454843
673,36,1679585680435874103
674,36,1679585680471972096
675,36,1679585680508055263
676,36,1679585680544474721
677,36,1679585680580906377
678,36,1679585680617348880
679,36,1679585680653777373
680,36,1679585680690205601
681,36,1679585680726640340
682,36,1679585680763080022
683,36,1679585680799510337
684,36,1679585680835942033
685,36,1679585680872040314
686,36,1679585680908479956
687,36,1679585680944908875
688,36,1679585680981335646
689,36,1679585681017789861
690,36,1679585681054215456
691,36,1679585681090640952
692,36,1679585681127060187
693,36,1679585681163590014
694,36,1679585681200132979
695,36,1679585681236669561
696,36,1679585681273205087
697,36,1679585681309674814
698,36,1679585681346170377
699,36,1679585681382645013
700,36,1679585681419218441
701,36,1679585681455757453
702,36,1679585681492401095
703,36,1679585681528869126
704,36,1679585681565511712
705,36,1679585681602027210
706,36,1679585681638644187
707,36,1679585681675049947
708,36,1679585681711150625
709,35,1679585681746657101
710,35,1679585681782195463
711,35,1679585681817728180
712,35,1679585681853251067
713,35,1679585681888779307
714,35,1679585681924312744
715,35,1679585681959847614
716,35,1679585681995383659
717,35,1679585682030920186
718,35,1679585682066558962
719,35,1679585682102149267
720,35,1679585682138841962
721,35,1679585682174608767
722,35,1679585682211717391
723,35,1679585682247216724
724,35,1679585682283237589
725,35,1679585682319274188
726,35,1679585682355309421
727,35,1679585682390522808
728,35,1679585682427630823
729,35,1679585682464736567
730,35,1679585682500881031
731,35,1679585682537686157
732,35,1679585682574794194
733,35,1679585682610884098
734,35,1679585682646932069
735,35,1679585682682920541
736,35,1679585682718717211
737,35,1679585682754590594
738,35,1679585682790615847
739,35,1679585682827207391
740,35,1679585682862954724
741,35,1679585682898589070
742,35,1679585682934208964
743,35,1679585682971319030
744,35,1679585683007308739
745,35,1679585683043142623
746,35,1679585683079019552
747,35,1679585683114206371
748,35,1679585683149413805
749,35,1679585683184488320
750,35,1679585683219642966
751,35,1679585683254940176
752,35,1679585683290004263
753,35,1679585683325076462
754,35,1679585683360163359
755,35,1679585683395227138
756,35,1679585683430302470
757,35,1679585683465386800
758,35,1679585683500464609
759,35,1679585683535522497
760,35,1679585683570596947
761,35,1679585683605671615
762,35,1679585683640760505
763,35,1679585683675811260
764,35,1679585683710891067
765,35,1679585683745973529
766,34,1679585683780147741
767,34,1679585683814331129
768,34,1679585683848513438
769,34,1679585683882689816
770,34,1679585683916771058
771,34,1679585683950936700
772,34,1679585683985115856
773,34,1679585684019290217
774,34,1679585684053458744
775,34,1679585684087632889
776,34,1679585684122177266
777,34,1679585684156339349
778,34,1679585684190595882
779,34,1679585684224828348
780,34,1679585684259127700
781,34,1679585684293329478
782,34,1679585684327591412
783,34,1679585684361762920
784,34,1679585684396043324
785,34,1679585684430474427
786,34,1679585684464744267
787,34,1679585684498912977
788,34,1679585684533139261
789,34,1679585684567305505
790,34,1679585684601476612
791,34,1679585684635773649
792,34,1679585684669836092
793,34,1679585684704088872
794,34,1679585684738269107
795,34,1679585684772473453
796,34,1679585684806677673
797,34,1679585684840880058
798,34,1679585684875065388
799,34,1679585684909310167
800,34,1679585684943678634
801,34,1679585684977955133
802,34,1679585685012186564
803,34,1679585685046356799
804,34,1679585685080525350
805,34,1679585685115070835
806,34,1679585685149639938
807,34,1679585685184199528
808,34,1679585685218699098
809,34,1679585685253299004
810,34,1679585685287831877
811,34,1679585685322327798
812,34,1679585685356874788
813,34,1679585685391212124
814,34,1679585685425307509
815,34,1679585685459796795
816,34,1679585685494379686
817,34,1679585685528842490
818,34,1679585685563370377
819,34,1679585685597959455
820,34,1679585685632453040
821,34,1679585685667036495
822,34,1679585685701574718
823,34,1679585685735965693
824,34,1679585685770496656
825,33,1679585685803636930
826,33,1679585685836783677
827,33,1679585685870326672
828,33,1679585685903804997
829,33,1679585685937309039
830,33,1679585685970731995
831,33,1679585686003842089
832,33,1679585686037319650
833,33,1679585686070827246
834,33,1679585686103927701
835,33,1679585686137385007
836,33,1679585686170695637
837,33,1679585686203790384
838,33,1679585686237188346
839,33,1679585686270516137
840,33,1679585686303688370
841,33,1679585686337167623
842,33,1679585686370642991
843,33,1679585686403757246
844,33,1679585686437226369
845,33,1679585686470720501
846,33,1679585686503867023
847,33,1679585686537335618
848,33,1679585686570828501
849,33,1679585686604310348
850,33,1679585686637796761
851,33,1679585686670899558
852,33,1679585686704006474
853,33,1679585686737461534
854,33,1679585686770943129
855,33,1679585686804047126
856,33,1679585686837505971
857,33,1679585686871011907
858,33,1679585686904521631
859,33,1679585686937992340
860,33,1679585686971095019
861,33,1679585687004546119
862,33,1679585687038091851
863,33,1679585687071642233
864,33,1679585687105284281
865,33,1679585687138774621
866,33,1679585687171917876
867,33,1679585687205389327
868,33,1679585687238739761
869,33,1679585687271904209
870,33,1679585687305373801
871,33,1679585687338856725
872,33,1679585687371962863
873,33,1679585687405058258
874,33,1679585687438168275
875,33,1679585687471281071
876,33,1679585687504402354
877,33,1679585687537893223
878,33,1679585687570995059
879,33,1679585687604108701
880,33,1679585687637215276
881,33,1679585687670315169
882,33,1679585687703572240
883,33,1679585687737091140
884,33,1679585687770618793
885,32,1679585687802731721
886,32,1679585687835049476
887,32,1679585687867153769
888,32,1679585687899243931
889,32,1679585687931335988
890,32,1679585687963425976
891,32,1679585687995565224
892,32,1679585688028041603
893,32,1679585688060537124
894,32,1679585688093030368
895,32,1679585688125495337
896,32,1679585688157969730
897,32,1679585688190441129
898,32,1679585688222913803
899,32,1679585688255044986
900,32,1679585688287147113
901,32,1679585688319236720
902,32,1679585688351325345
903,32,1679585688383412822
904,32,1679585688415876141
905,32,1679585688447979581
906,32,1679585688480437259
907,32,1679585688512899735
908,32,1679585688545374593
909,32,1679585688577856076
910,32,1679585688610326191
911,32,1679585688642733872
912,32,1679585688674835934
913,32,1679585688707047113
914,32,1679585688739150451
915,32,1679585688771238098
916,32,1679585688803326115
917,32,1679585688835783674
918,32,1679585688868261992
919,32,1679585688900749760
920,32,1679585688933223527
921,32,1679585688965690574
922,32,1679585688998165421
923,32,1679585689030642860
924,32,1679585689063041915
925,32,1679585689095598412
926,32,1679585689128060063
927,32,1679585689160163482
928,32,1679585689192615766
929,32,1679585689225085696
930,32,1679585689257569190
931,32,1679585689290047502
932,32,1679585689322523982
933,32,1679585689355003343
934,32,1679585689387112909
935,32,1679585689419581952
936,32,1679585689452053053
937,32,1679585689484530245
938,32,1679585689516998289
939,32,1679585689549470283
940,32,1679585689581950336
941,32,1679585689614418972
942,32,1679585689646886272
943,32,1679585689679039783
944,32,1679585689711140858
945,32,1679585689743226966
946,32,1679585689775315744
947,31,1679585689806733889
948,31,1679585689838197651
949,31,1679585689869658955
950,31,1679585689901121616
951,31,1679585689932581504
952,31,1679585689963681072
953,31,1679585689995039363
954,31,1679585690026509674
955,31,1679585690057980043
956,31,1679585690089445862
957,31,1679585690120908896
958,31,1679585690152014146
959,31,1679585690183472280
960,31,1679585690214941389
961,31,1679585690246406577
962,31,1679585690277869966
963,31,1679585690309332594
964,31,1679585690340805416
965,31,1679585690372268099
966,31,1679585690403734484
967,31,1679585690434838445
968,31,1679585690466287533
969,31,1679585690497748348
970,31,1679585690529214284
971,31,1679585690560318081
972,31,1679585690591405100
973,31,1679585690622853021
