id,int,ts_start
174,250,1678988292827954837
175,250,1678988293078376399
176,250,1678988293328798146
177,250,1678988293579222824
178,250,1678988293829651189
179,250,1678988294080070758
180,250,1678988294330494635
181,250,1678988294580917782
182,250,1678988294831385313
183,250,1678988295081809485
184,250,1678988295332228131
185,250,1678988295582652048
186,250,1678988295833082272
187,250,1678988296083431753
188,250,1678988296333854787
189,250,1678988296584271140
190,250,1678988296834693214
191,250,1678988297085119082
192,250,1678988297335544847
193,250,1678988297585969544
194,250,1678988297836387189
195,250,1678988298086808459
196,250,1678988298337233340
197,250,1678988298587684273
198,250,1678988298838108222
199,250,1678988299088566328
200,250,1678988299338991153
201,125,1678988299589422575
202,125,1678988299714846140
203,125,1678988299840263559
204,125,1678988299965687191
205,125,1678988300091109795
206,125,1678988300216552798
207,125,1678988300341980056
208,125,1678988300467428499
209,125,1678988300592858845
210,125,1678988300718279041
211,125,1678988300843724047
212,125,1678988300969146054
213,125,1678988301094569565
214,125,1678988301219988893
215,125,1678988301345432657
216,125,1678988301470855872
217,125,1678988301596275982
218,125,1678988301721698160
219,125,1678988301847118540
220,125,1678988301972558307
221,125,1678988302097981317
222,125,1678988302223437756
223,125,1678988302348899983
224,125,1678988302474323578
225,125,1678988302599742033
226,125,1678988302725165759
227,125,1678988302850589705
228,125,1678988302975729848
229,125,1678988303101108962
230,125,1678988303226532895
231,125,1678988303351953344
232,125,1678988303477377014
233,125,1678988303602800772
234,125,1678988303728220920
235,125,1678988303853641623
236,125,1678988303978703025
237,125,1678988304104118929
238,125,1678988304229539331
239,125,1678988304354962376
240,125,1678988304480381174
241,125,1678988304605805113
242,125,1678988304731230403
243,125,1678988304856653756
244,125,1678988304982075907
245,125,1678988305107501443
246,125,1678988305232924895
247,125,1678988305358347017
248,125,1678988305483765924
249,125,1678988305609188877
250,125,1678988305734609969
251,125,1678988305860029326
252,125,1678988305985449875
253,125,1678988306110844240
254,125,1678988306236273960
255,125,1678988306361698644
256,125,1678988306487122238
257,125,1678988306612554428
258,125,1678988306737979500
259,125,1678988306863428787
260,125,1678988306988860291
261,125,1678988307114287606
262,125,1678988307239713458
263,125,1678988307365135733
264,125,1678988307490556406
265,125,1678988307615974863
266,125,1678988307741397587
267,125,1678988307866820662
268,125,1678988307992240679
269,125,1678988308117663414
270,125,1678988308243084500
271,125,1678988308368504573
272,125,1678988308493927786
273,125,1678988308619384802
274,125,1678988308744809175
275,125,1678988308870234718
276,125,1678988308995660262
277,125,1678988309121084559
278,125,1678988309246506180
279,125,1678988309371926889
280,125,1678988309497358181
281,125,1678988309622781483
282,125,1678988309748202146
283,125,1678988309873625159
284,125,1678988309999048980
285,125,1678988310124471927
286,125,1678988310249895574
287,125,1678988310375320641
288,125,1678988310500744115
289,125,1678988310626164945
290,125,1678988310751589297
291,125,1678988310877013677
292,125,1678988311002437701
293,125,1678988311127863017
294,125,1678988311253285424
295,125,1678988311378711261
296,125,1678988311504137944
297,125,1678988311629561900
298,125,1678988311754988064
299,125,1678988311880405928
300,125,1678988312005830715
301,62,1678988312131263379
302,62,1678988312193686105
303,62,1678988312256117123
304,62,1678988312318538512
305,62,1678988312380961025
306,62,1678988312443390899
307,62,1678988312505813274
308,62,1678988312567872529
309,62,1678988312630294181
310,62,1678988312692718578
311,62,1678988312755141725
312,62,1678988312817564872
313,62,1678988312879996097
314,62,1678988312942419373
315,62,1678988313004842187
316,62,1678988313067264155
317,62,1678988313129688837
318,62,1678988313192105110
319,62,1678988313254528999
320,62,1678988313316952871
321,62,1678988313379385808
322,62,1678988313441810020
323,62,1678988313504228039
324,62,1678988313566650408
325,62,1678988313629073146
326,62,1678988313691496521
327,62,1678988313753919152
328,62,1678988313816340465
329,62,1678988313878764345
330,62,1678988313941188019
331,62,1678988314003611639
332,62,1678988314066036620
333,62,1678988314128455096
334,62,1678988314190879344
335,62,1678988314253303484
336,62,1678988314315727738
337,62,1678988314378151024
338,62,1678988314440567569
339,62,1678988314502992039
340,62,1678988314565413957
341,62,1678988314627832381
342,62,1678988314690253255
343,62,1678988314752677960
344,62,1678988314815098579
345,62,1678988314877521216
346,62,1678988314939945295
347,62,1678988315002368141
348,62,1678988315064790517
349,62,1678988315127211314
350,62,1678988315189634389
351,62,1678988315252056862
352,62,1678988315314476838
353,62,1678988315376910084
354,62,1678988315439331005
355,62,1678988315501753815
356,62,1678988315564175747
357,62,1678988315626597593
358,62,1678988315689021061
359,62,1678988315751448012
360,62,1678988315813871204
361,62,1678988315876294453
362,62,1678988315938713767
363,62,1678988316001134390
364,62,1678988316063556615
365,62,1678988316125980553
366,62,1678988316188401805
367,62,1678988316250826227
368,62,1678988316313253058
369,62,1678988316375686374
370,62,1678988316438108356
371,62,1678988316500559728
372,62,1678988316562984286
